,Environment Feature,,,,,,,,Vehicle Feature,,,,,,,,,,,,,,,,,,,
1318,20,4,40,92,55,46,47,96,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,10,4,I,"906,384,1070,542
",73.33333333,13.36898396,69.6,vehicle.toyota.prius,0.000102453,-179.9938965,0,22,22
1319,12,64,61,62,55,90,46,89,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,39,4,I,"863,515,907,540
",56.07843137,57.34265734,221.7073171,vehicle.audi.a2,0.064716041,-179.9692688,-1.63E-12,3,3
1320,3,32,98,41,69,43,85,50,0,100,100,vehicle.toyota.prius,0.000102453,0.006117756,0,29,4,I,"900,502,951,540
",100,100,0,vehicle.nissan.micra,0,0.006117758,0,9,9
1321,14,16,5,15,30,91,57,74,350.3571429,100,65.88235294,vehicle.audi.etron,0,0.006117758,0,39,4,I,"963,510,1001,540
",65.88235294,100,350.3571429,vehicle.audi.etron,0,-179.9938965,0,38,38
1322,19,93,4,36,85,25,60,7,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9938965,0,16,4,I,"829,463,940,541
",42.74509804,0,0,vehicle.audi.a2,0.064668231,0.006115489,0,24,24
1323,20,5,0,0,10,2,0.75,0,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,5.86E-07,18,4,I,"815,475,914,541
",100,100,0,vehicle.chevrolet.impala,0,0.006117758,0,23,23
1324,14,35,93,74,81,51,54,16,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,30,4,I,"833,495,888,540
",85.09803922,0,0,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,38,38
1325,19,32,70,64,67,47,3,89,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,20,4,I,"852,489,935,541
",56.07843137,57.34265734,221.7073171,vehicle.audi.a2,0.064292565,0.006115963,0,31,31
1326,20,83,68,69,30,19,62,33,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,6,4,I,"897,315,1231,547
",65.88235294,100,350.3571429,vehicle.nissan.micra,0,-179.9938965,0,5,5
1327,6,59,74,61,50,90,39,87,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,26,4,I,"831,489,894,540
",85.09803922,0,0,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,28,28
1328,8,95,1,47,92,20,28,72,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9938965,0,35,4,I,"889,507,934,540
",65.88235294,100,350.3571429,vehicle.volkswagen.t2,0,-179.9938965,0,7,7
1329,14,93,17,3,75,77,62,45,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-179.9938965,0,33,4,I,"840,496,895,540
",28.62745098,83.56164384,0,vehicle.audi.tt,0,0.006117758,0,28,28
1330,10,28,61,29,43,47,28,29,0,0,85.09803922,vehicle.citroen.c3,0.000785472,-179.9858093,-4.19476366,20,4,I,"743,475,844,542
",85.09803922,0,0,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,9,9
1331,4,94,77,93,99,32,6,69,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,37,4,I,"912,511,955,540
",40.39215686,83.49514563,226.0465116,vehicle.audi.a2,0.064538456,-179.9938965,0,29,29
1332,20,36,91,36,91,23,88,16,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,39,4,I,"941,507,975,540
",85.09803922,0,0,vehicle.bmw.grandtourer,0,-179.9938965,0,11,11
1333,23,64,29,88,41,90,74,34,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,36,4,I,"923,504,960,540
",85.09803922,0,0,vehicle.nissan.micra,0,-179.9938965,0,8,8
1334,15,16,24,99,86,47,44,14,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,25,4,I,"949,487,1003,540
",85.09803922,0,0,vehicle.chevrolet.impala,0,0.006117758,0,17,17
1335,2,82,95,65,75,90,55,54,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9938965,0,11,4,I,"614,416,843,542
",42.74509804,0,0,vehicle.audi.a2,0.064381361,0.006115676,0,6,6
1336,20,73,58,4,23,81,66,97,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,37,4,I,"877,513,922,540
",56.07843137,57.34265734,221.7073171,vehicle.tesla.model3,0,0.006117758,0,32,32
1337,15,12,8,98,29,95,27,57,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,23,4,I,"926,489,995,541
",42.74509804,0,0,vehicle.audi.tt,0,-179.9938965,0,20,20
1338,18,78,64,76,5,76,16,37,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,39,4,I,"944,513,976,540
",95.29411765,0,0,vehicle.chevrolet.impala,0,0.006117758,0,13,13
1339,9,96,87,68,97,57,45,70,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,31,4,I,"922,497,965,540
",85.09803922,0,0,vehicle.nissan.micra,0,-179.9938965,0,13,13
1340,14,71,39,49,8,24,45,1,0,0,95.29411765,vehicle.nissan.micra,0,-179.9938965,0,16,4,I,"809,471,907,541
",95.29411765,0,0,vehicle.chevrolet.impala,0,-179.9938965,0,29,29
1341,7,28,98,87,94,19,99,30,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,-179.9938965,0,29,4,I,"871,504,922,540
",83.92156863,80.37383178,233.372093,vehicle.seat.leon,0,0.006117758,0,9,9
1342,14,74,23,21,27,2,90,82,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,25,4,I,"932,498,983,540
",95.29411765,0,0,vehicle.bmw.grandtourer,0,0.006117758,0,5,5
1343,13,53,26,39,45,79,73,16,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,31,4,I,"938,506,989,540
",40.39215686,83.49514563,226.0465116,vehicle.volkswagen.t2,0,-179.9938965,0,35,35
1344,9,88,42,74,56,42,92,31,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9938965,0,20,4,I,"835,479,922,541
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,-179.9938965,0,27,27
1345,14,34,47,44,32,35,81,67,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,34,4,I,"851,506,897,540
",85.09803922,0,0,vehicle.nissan.patrol,0,0.006117758,0,32,32
1346,20,59,8,0,45,97,83,81,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,31,4,I,"968,507,1019,540
",40.39215686,83.49514563,226.0465116,vehicle.nissan.micra,0,0.006117758,0,24,24
1347,14,96,1,48,72,100,34,77,350.3571429,100,65.88235294,vehicle.audi.a2,0.064634077,0.006115903,0,19,4,I,"968,483,1037,541
",65.88235294,100,350.3571429,vehicle.volkswagen.t2,0,-179.9938965,0,19,19
1348,21,17,57,92,96,41,22,24,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,23,4,I,"939,495,995,540
",95.29411765,0,0,vehicle.toyota.prius,0.000102453,0.006117756,0,9,9
1349,23,22,74,6,82,12,21,86,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,25,4,I,"973,501,1033,541
",65.88235294,100,350.3571429,vehicle.seat.leon,0,-179.9938965,0,24,24
1350,2,37,73,66,6,51,0,70,0,100,100,vehicle.toyota.prius,1.0629071,179.8872223,-2.488403082,8,4,I,"106,299,692,547
",100,100,0,vehicle.tesla.model3,0,-179.9938965,0,38,38
1351,3,45,15,95,31,55,37,59,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,0,29,4,I,"841,503,900,540
",100,100,0,vehicle.volkswagen.t2,0,-179.9938965,0,19,19
1352,4,84,93,46,25,59,62,6,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,22,4,I,"895,491,956,540
",95.29411765,0,0,vehicle.volkswagen.t2,0,0.006117758,0,13,13
1353,15,53,35,85,62,6,16,56,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,29,4,I,"888,501,936,541
",85.09803922,0,0,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,35,35
1354,12,74,71,13,30,65,6,29,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,17,4,I,"900,483,984,541
",65.88235294,100,350.3571429,vehicle.citroen.c3,0,0.006117758,0,22,22
1355,20,86,91,37,99,71,82,20,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,9,4,I,"411,376,738,544
",85.09803922,0,0,vehicle.chevrolet.impala,0,0.006117758,0,9,9
1356,5,82,66,53,99,36,0,18,0,0,95.29411765,vehicle.nissan.micra,0,-179.9938965,0,17,4,I,"832,474,923,540
",95.29411765,0,0,vehicle.chevrolet.impala,0,0.006117758,0,12,12
1357,21,39,6,63,24,25,5,49,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,28,4,I,"931,502,986,541
",40.39215686,83.49514563,226.0465116,vehicle.tesla.model3,0,-179.9938965,0,24,24
1358,4,85,48,25,73,76,6,35,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,8,4,I,"413,307,798,543
",73.33333333,13.36898396,69.6,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,33,33
1359,16,65,27,71,72,3,65,11,0,100,100,vehicle.toyota.prius,0.000102453,0.006117754,9.79E-08,8,4,I,"897,367,1129,544
",100,100,0,vehicle.chevrolet.impala,0,-179.9938965,0,13,13
1360,4,33,95,16,0,50,32,16,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,22,4,I,"957,496,1022,541
",65.88235294,100,350.3571429,vehicle.audi.tt,0,0.006117758,0,38,38
1361,21,61,78,59,17,56,94,25,350.3571429,100,65.88235294,vehicle.audi.tt,0,-179.9938965,0,36,4,I,"873,513,917,540
",65.88235294,100,350.3571429,vehicle.audi.tt,0,-179.9938965,0,19,19
1362,10,41,24,22,12,84,92,4,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,19,4,I,"937,475,1025,541
",42.74509804,0,0,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,12,12
1363,3,78,84,16,26,97,73,86,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9938965,0,37,4,I,"858,508,908,540
",42.74509804,0,0,vehicle.audi.tt,0,-179.9938965,0,12,12
1364,9,99,52,92,17,20,9,27,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,0.006117758,0,15,4,I,"986,465,1088,541
",83.92156863,80.37383178,233.372093,vehicle.bmw.grandtourer,0,-179.9938965,0,36,36
1365,20,60,60,60,60,3,0.75,0,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,38,4,I,"858,514,904,540
",56.07843137,57.34265734,221.7073171,vehicle.citroen.c3,0,-179.9938965,0,7,7
1366,15,71,86,0,15,50,36,4,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,19,4,I,"754,467,857,540
",73.33333333,13.36898396,69.6,vehicle.nissan.patrol,0,0.006117758,0,34,34
1367,10,58,54,19,44,4,39,67,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,19,4,I,"896,475,984,541
",42.74509804,0,0,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,38,38
1368,23,0,77,49,75,0,88,43,350.3571429,100,65.88235294,vehicle.audi.tt,0,-179.9938965,0,23,4,I,"833,498,906,541
",65.88235294,100,350.3571429,vehicle.audi.tt,0,0.006117758,0,5,5
1369,6,26,72,71,18,82,40,54,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,24,4,I,"929,491,996,541
",42.74509804,0,0,vehicle.chevrolet.impala,0,-179.9938965,0,26,26
1370,11,52,72,17,7,91,68,66,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-179.9938965,0,7,4,I,"269,238,770,545
",28.62745098,83.56164384,0,vehicle.tesla.model3,0,-179.9938965,0,29,29
1371,22,0,53,6,46,84,31,63,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,-179.9938965,0,15,4,I,"815,467,933,542
",40.39215686,83.49514563,226.0465116,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,6,6
1372,10,54,44,87,61,94,24,71,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,0.006117758,0,12,4,I,"967,448,1086,542
",83.92156863,80.37383178,233.372093,vehicle.tesla.model3,0,-179.9938965,0,24,24
1373,16,7,77,31,12,69,67,30,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,0.006117758,0,19,4,I,"907,464,986,541
",28.62745098,83.56164384,0,vehicle.audi.tt,0,-179.9938965,0,37,37
1374,7,56,10,19,83,64,15,57,350.3571429,100,65.88235294,vehicle.audi.tt,0,-179.9938965,0,13,4,I,"630,453,815,542
",65.88235294,100,350.3571429,vehicle.toyota.prius,0.000102453,0.006117756,0,27,27
1375,17,71,13,7,78,42,11,51,0,100,100,vehicle.toyota.prius,0.000102453,0.006117756,1.03E-06,18,4,I,"962,478,1045,541
",100,100,0,vehicle.tesla.model3,0,-179.9938965,0,5,5
1376,5,62,38,24,17,87,29,56,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,26,4,I,"916,495,978,540
",42.74509804,0,0,vehicle.audi.tt,0,-179.9938965,0,9,9
1377,2,13,49,51,78,60,29,31,350.3571429,100,65.88235294,vehicle.audi.a2,0.064360872,-179.9938965,0,37,4,I,"886,511,924,540
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,0.006117758,0,37,37
1378,21,43,14,69,52,23,93,99,350.3571429,100,65.88235294,vehicle.audi.a2,0.064893626,0.006115824,4.07E-13,29,4,I,"971,503,1016,540
",65.88235294,100,350.3571429,vehicle.bmw.grandtourer,0,0.006117758,0,8,8
1379,12,3,74,89,41,14,37,91,0,100,100,vehicle.toyota.prius,0.000102453,0.006117756,0,9,4,I,"912,400,1101,543
",100,100,0,vehicle.bmw.grandtourer,0,-179.9938965,0,5,5
1380,16,96,37,48,33,85,98,76,0,100,100,vehicle.toyota.prius,0.000102453,0.006117756,0,13,4,I,"897,449,1019,542
",100,100,0,vehicle.nissan.micra,0,0.006117758,0,20,20
1381,16,19,23,77,37,37,19,75,0,0,95.29411765,vehicle.nissan.micra,0,-179.9692993,0,3,4,I,"56,220,6339,2444
",95.29411765,0,0,vehicle.audi.etron,0,-179.9938965,0,6,6
1382,7,0,49,21,60,33,33,22,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,0.006117758,0,20,4,I,"963,487,1043,541
",56.07843137,57.34265734,221.7073171,vehicle.toyota.prius,0.000102453,0.006117756,0,13,13
1383,8,96,10,72,49,52,71,4,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-179.9938965,0,20,4,I,"744,462,851,541
",28.62745098,83.56164384,0,vehicle.bmw.grandtourer,0,0.006117758,0,19,19
1384,20,60,0,0,10,3,0.75,0,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,27,4,I,"872,491,929,540
",73.33333333,13.36898396,69.6,vehicle.audi.tt,0,0.006117758,0,25,25
1385,11,95,39,59,53,72,68,57,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,39,4,I,"938,506,972,540
",85.09803922,0,0,vehicle.audi.etron,0,0.006117758,0,18,18
1386,8,31,13,87,97,78,79,74,350.3571429,100,65.88235294,vehicle.audi.a2,0.064606756,0.006115876,4.07E-13,11,4,I,"911,437,1032,542
",65.88235294,100,350.3571429,vehicle.volkswagen.t2,0,0.006117758,0,28,28
1387,13,23,78,70,59,48,46,100,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,0.006117758,0,30,4,I,"930,493,978,540
",28.62745098,83.56164384,0,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,37,37
1388,21,80,43,8,71,36,28,60,350.3571429,100,65.88235294,vehicle.audi.a2,0.064572603,-179.9938965,0,32,4,I,"850,506,897,540
",65.88235294,100,350.3571429,vehicle.seat.leon,0,0.006117758,0,37,37
1389,13,9,99,49,21,100,72,12,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9938965,0,28,4,I,"835,497,903,540
",42.74509804,0,0,vehicle.toyota.prius,0.000102453,0.006117756,2.29E-07,6,6
1390,12,82,37,19,91,7,87,48,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,0.006117758,0,28,4,I,"903,504,956,541
",56.07843137,57.34265734,221.7073171,vehicle.bmw.grandtourer,0,0.006117758,0,4,4
1391,20,31,62,42,42,25,54,54,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,34,4,I,"886,501,931,540
",73.33333333,13.36898396,69.6,vehicle.toyota.prius,0.000102453,-179.9938965,0,5,5
1392,17,27,88,25,39,38,34,30,350.3571429,100,65.88235294,vehicle.audi.a2,0.064456493,-179.9692688,0,2,4,I,"-10317,-4962,736,654
",65.88235294,100,350.3571429,vehicle.seat.leon,0,0.006117758,0,17,17
1393,6,60,6,82,95,71,90,13,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,0,20,4,I,"758,484,858,541
",100,100,0,vehicle.bmw.grandtourer,0,-179.9938965,0,4,4
1394,19,8,17,82,30,10,82,100,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,19,4,I,"747,469,846,541
",85.09803922,0,0,vehicle.chevrolet.impala,0,-179.9692993,0,4,4
1395,21,72,40,23,98,44,38,87,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,0.006117758,0,5,4,I,"885,159,1277,546
",28.62745098,83.56164384,0,vehicle.chevrolet.impala,0,-179.9938965,0,6,6
1396,13,76,28,27,79,95,63,20,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,19,4,I,"810,484,908,541
",56.07843137,57.34265734,221.7073171,vehicle.audi.etron,0,-179.9938965,0,39,39
1397,16,44,85,19,49,48,27,4,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,5.74E-08,39,4,I,"900,513,939,540
",100,100,0,vehicle.toyota.prius,0.000102453,0.006117756,0,13,13
1398,13,64,91,93,92,31,5,34,350.3571429,100,65.88235294,vehicle.audi.etron,0,0.006117758,0,33,4,I,"942,505,986,541
",65.88235294,100,350.3571429,vehicle.citroen.c3,0,-179.9938965,0,31,31
1399,6,50,75,35,5,50,20,5,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,16,4,I,"824,463,924,541
",85.09803922,0,0,vehicle.volkswagen.t2,0,0.006117758,0,22,22
1400,6,34,11,35,7,30,74,48,0,0,85.09803922,vehicle.citroen.c3,0,0.006117758,0,28,4,I,"966,499,1014,541
",85.09803922,0,0,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,15,15
1401,7,12,41,61,6,84,61,56,350.3571429,100,65.88235294,vehicle.audi.a2,0.064224266,0.006116068,0,10,4,I,"878,423,1016,542
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,0.006117758,0,36,36
1402,20,15,25,61,78,84,4,58,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,38,4,I,"898,506,937,540
",73.33333333,13.36898396,69.6,vehicle.audi.a2,0.064429171,-179.9938965,0,19,19
1403,22,7,87,81,59,58,52,74,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,0.006117758,0,33,4,I,"940,497,984,540
",28.62745098,83.56164384,0,vehicle.bmw.grandtourer,0,0.006117758,0,12,12
1404,20,31,24,35,23,92,20,15,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,8,4,I,"767,379,1007,544
",40.39215686,83.49514563,226.0465116,vehicle.audi.a2,0.064866304,0.006115991,0,16,16
1405,23,62,73,9,28,24,4,72,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-179.9938965,0,27,4,I,"885,486,942,540
",28.62745098,83.56164384,0,vehicle.citroen.c3,0,-179.9692993,0,4,4
1406,15,37,41,6,7,69,60,54,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,22,4,I,"951,479,1015,540
",73.33333333,13.36898396,69.6,vehicle.volkswagen.t2,0,-179.9938965,0,29,29
1407,13,60,60,60,60,3,0.75,0,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,10,4,I,"942,396,1090,542
",85.09803922,0,0,vehicle.tesla.model3,0,-179.9938965,0,15,15
1408,2,2,34,8,76,45,89,78,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,0.006117758,0,26,4,I,"944,501,1000,541
",56.07843137,57.34265734,221.7073171,vehicle.tesla.model3,0,0.006117758,0,15,15
1409,8,60,65,74,73,90,10,66,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,12,4,I,"867,436,1009,542
",42.74509804,0,0,vehicle.seat.leon,0,0.006117758,0,37,37
1410,23,30,6,85,18,17,52,79,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,0,28,4,I,"833,502,895,540
",100,100,0,vehicle.bmw.grandtourer,0,0.006117758,0,28,28
1411,11,17,21,51,34,15,74,87,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,20,4,I,"928,490,1001,541
",65.88235294,100,350.3571429,vehicle.citroen.c3,0,-179.9938965,0,10,10
1412,4,65,64,5,11,76,39,32,0,0,85.09803922,vehicle.citroen.c3,0,0.006117758,0,34,4,I,"958,507,996,540
",85.09803922,0,0,vehicle.bmw.grandtourer,0,0.006117758,0,15,15
1413,6,82,58,36,32,92,97,61,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,0,36,4,I,"878,510,922,540
",100,100,0,vehicle.audi.tt,0,0.006117758,0,24,24
1414,23,38,44,75,5,73,46,76,350.3571429,100,65.88235294,vehicle.audi.a2,0.064640909,-179.9938965,0,11,4,I,"723,427,886,542
",65.88235294,100,350.3571429,vehicle.chevrolet.impala,0,-179.9938965,0,26,26
1415,2,0,6,11,18,71,51,46,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,21,4,I,"774,476,860,541
",85.09803922,0,0,vehicle.seat.leon,0,0.006117758,0,7,7
1416,2,24,46,32,94,59,3,18,350.3571429,100,65.88235294,vehicle.audi.etron,0,0.006117758,0,20,4,I,"969,479,1048,541
",65.88235294,100,350.3571429,vehicle.seat.leon,0,-179.9938965,0,18,18
1417,20,84,95,56,4,72,96,87,0,100,100,vehicle.toyota.prius,0.000102453,0.006117756,0,36,4,I,"948,511,987,540
",100,100,0,vehicle.audi.a2,0.064476982,-179.9938965,0,16,16
1418,18,42,80,60,80,40,2,77,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,0.006117758,0,9,4,I,"761,410,956,544
",56.07843137,57.34265734,221.7073171,vehicle.volkswagen.t2,0,-179.9692993,0,4,4
1419,14,2,38,2,46,56,18,82,0,100,100,vehicle.toyota.prius,0.000102453,0.006117756,0,35,4,I,"926,509,967,540
",100,100,0,vehicle.nissan.micra,0,0.006117758,0,24,24
1420,8,42,97,91,34,11,11,15,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,-179.9938965,0,15,4,I,"672,461,819,541
",83.92156863,80.37383178,233.372093,vehicle.bmw.grandtourer,0,-179.9938965,0,37,37
1421,18,18,16,0,55,35,81,83,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,0,20,4,I,"761,482,863,541
",100,100,0,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,39,39
1422,6,11,65,23,61,30,49,59,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,38,4,I,"939,512,972,540
",95.29411765,0,0,vehicle.nissan.micra,0,-179.9938965,0,34,34
1423,23,17,53,91,37,59,88,88,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,30,4,I,"928,496,973,540
",73.33333333,13.36898396,69.6,vehicle.audi.a2,0.064606756,-179.9938965,0,11,11
1424,12,21,96,41,57,41,21,54,350.3571429,100,65.88235294,vehicle.audi.tt,0,-179.9938965,0,13,4,I,"786,462,917,542
",65.88235294,100,350.3571429,vehicle.nissan.micra,0,0.006117758,0,32,32
1425,17,35,12,53,11,31,72,30,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,0.006117758,0,12,4,I,"966,449,1083,542
",83.92156863,80.37383178,233.372093,vehicle.tesla.model3,0,-179.9938965,0,14,14
1426,18,33,81,95,84,92,46,32,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,11,4,I,"891,427,1060,543
",40.39215686,83.49514563,226.0465116,vehicle.audi.a2,0.064729698,-179.9938965,0,7,7
1427,15,55,54,13,58,92,42,55,350.3571429,100,65.88235294,vehicle.audi.a2,0.064763851,0.006115773,4.07E-13,12,4,I,"912,444,1024,542
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,0.006117758,0,5,5
1428,17,18,10,2,31,12,1,12,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,29,4,I,"863,495,917,540
",73.33333333,13.36898396,69.6,vehicle.tesla.model3,0,-179.9938965,0,13,13
1429,20,10,44,68,27,45,70,55,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,12,4,I,"972,454,1104,542
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,-179.9692993,0,3,3
1430,10,4,35,68,2,26,80,55,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,-179.9938965,0,7,4,I,"423,352,794,544
",83.92156863,80.37383178,233.372093,vehicle.toyota.prius,0.000102453,0.006117754,9.79E-08,14,14
1431,10,5,34,46,17,58,68,95,0,0,95.29411765,vehicle.nissan.micra,0,-179.9938965,0,6,4,I,"425,291,841,543
",95.29411765,0,0,vehicle.citroen.c3,0,-179.9938965,0,21,21
1432,22,78,30,32,94,10,72,19,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,31,4,I,"876,504,923,540
",85.09803922,0,0,vehicle.chevrolet.impala,0,0.006117758,0,11,11
1433,9,24,88,59,16,4,28,54,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9738159,0,4,4,I,"-3467,-851,701,585
",56.07843137,57.34265734,221.7073171,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,7,7
1434,6,68,95,95,84,76,27,25,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,4,4,I,"664,212,1150,550
",65.88235294,100,350.3571429,vehicle.tesla.model3,0,0.006117758,0,21,21
1435,23,38,98,39,35,82,12,64,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,25,4,I,"891,487,949,540
",73.33333333,13.36898396,69.6,vehicle.nissan.patrol,0,0.006117758,0,10,10
1436,16,66,1,3,87,72,48,41,350.3571429,100,65.88235294,vehicle.audi.tt,0,-179.9938965,0,10,4,I,"732,428,919,543
",65.88235294,100,350.3571429,vehicle.audi.a2,0.064558946,0.006115822,0,9,9
1437,13,60,0,50,10,3,0.75,0,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,-179.9938965,0,39,4,I,"884,513,928,540
",40.39215686,83.49514563,226.0465116,vehicle.audi.tt,0,0.006117758,0,21,21
1438,8,89,10,88,52,40,62,39,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,33,4,I,"962,508,1002,540
",95.29411765,0,0,vehicle.tesla.model3,0,0.006117758,0,5,5
1439,15,1,32,10,95,31,66,5,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,-179.9938965,0,5,4,I,"-722,58,673,553
",40.39215686,83.49514563,226.0465116,vehicle.tesla.model3,0,0.006117758,0,17,17
