,TestId,Forest,Prediction,Anchor,Precision,Coverage,Label
130,822,"[15, 1, 17, 3]",High Risk level,cardistance > 23.00 AND cloudiness > 50.00 AND roadtype = T AND ponding > 75.00,0.994285714,0.0062,High Risk level
131,2083,"[1, 17, 15, 6]",Low Risk level,cloudiness <= 24.00 AND roadtype = I AND cardistance > 17.00 AND fogdis <= 48.00,0.9664903,0.013,Low Risk level
132,4705,"[1, 15, 17]",High Risk level,cloudiness > 75.00 AND cardistance > 23.00 AND roadtype = X,0.969125214,0.0136,Medium Risk Level
133,1892,"[15, 11, 1, 10, 17, 8, 1, 6, 14, 4, 13, 5, 8, 0, 13, 2, 10, 10, 13, 16]",Medium Risk Level,cardistance <= 17.00 AND cartype = vehicle.volkswagen.t2 AND 24.00 < cloudiness <= 75.00 AND carcolor_H <= 0.00 AND roadtype = R AND carcolor_V <= 65.88 AND fogdis <= 74.00 AND roll <= 0.00 AND wind > 24.00 AND yaw > 100.04 AND fogden > 50.00 AND time > 7.00 AND precipitation <= 75.00 AND carnumber > 3.00,0.64947245,0.0001,High Risk level
134,203,"[1, 15, 9]",High Risk level,cloudiness > 50.00 AND cardistance > 23.00 AND carcolor_S <= 0.00,0.976694915,0.0335,High Risk level
135,2677,"[15, 10, 6, 1, 11, 5, 3, 17, 13, 2, 3, 6, 0, 16, 8, 10, 10, 13, 9, 9, 8, 12, 7, 0, 9, 8, 5, 6, 5]",Low Risk level,cardistance <= 23.00 AND carcolor_H > 233.37 AND fogdis > 74.00 AND cloudiness <= 75.00 AND cartype = vehicle.audi.a2 AND fogden <= 24.00 AND ponding <= 25.00 AND roadtype = X AND -178.77 < yaw <= 100.04 AND precipitation > 24.00 AND 7.00 < time <= 19.00 AND carnumber <= 3.00 AND 56.08 < carcolor_V <= 65.88 AND 80.37 < carcolor_S <= 100.00 AND pitch > 0.00 AND wetness <= 49.00,0.837253057,0,Low Risk level
136,5218,"[17, 11, 1, 4, 1, 15, 8, 14, 0, 5, 0, 7, 9, 16, 10, 9, 4, 2, 9, 2, 8, 7, 16, 12, 5, 7]",Medium Risk Level,roadtype = T AND cartype = vehicle.tesla.model3 AND 50.00 < cloudiness <= 75.00 AND wind > 76.00 AND cardistance <= 17.00 AND carcolor_V <= 56.08 AND roll <= 0.00 AND 7.00 < time <= 19.00 AND fogden > 50.00 AND 49.00 < wetness <= 74.00 AND 80.37 < carcolor_S <= 100.00 AND carnumber > 3.00 AND carcolor_H > 69.60 AND 24.00 < precipitation <= 75.00 AND pitch <= 0.00,0.913554633,0.0002,Medium Risk Level
137,6013,"[15, 17, 1, 6, 3, 8, 2, 12, 4, 5, 10, 5, 6, 6, 4, 8]",Safety level,cardistance <= 9.00 AND roadtype = I AND cloudiness <= 24.00 AND fogdis > 74.00 AND ponding <= 50.00 AND 65.88 < carcolor_V <= 85.10 AND precipitation > 24.00 AND pitch <= 0.00 AND 24.00 < wind <= 76.00 AND 24.00 < fogden <= 76.00 AND carcolor_H > 0.00,0.951877934,0.0003,Safety level
138,7198,"[15, 1, 6, 10, 3, 4, 8, 2, 1, 4, 0, 9, 6, 7, 8, 12, 15, 1, 6, 14, 3, 15, 0, 8, 10, 9, 5]",Safety level,cardistance <= 9.00 AND cloudiness <= 24.00 AND fogdis > 74.00 AND carcolor_H > 69.60 AND ponding <= 50.00 AND 24.00 < wind <= 76.00 AND carcolor_V <= 56.08 AND precipitation <= 75.00 AND time <= 7.00 AND 0.00 < carcolor_S <= 100.00 AND wetness > 23.00 AND pitch <= 0.00 AND roll <= 0.00 AND fogden <= 76.00,0.924981792,0,Safety level
139,1624,"[15, 10, 6, 13, 11, 14, 3, 8, 8, 2, 13, 8, 9, 3, 3, 10, 7, 13, 10, 15, 16, 12, 7, 2, 0, 9, 7, 9]",Safety level,cardistance <= 17.00 AND carcolor_H > 233.37 AND fogdis > 23.00 AND -178.77 < yaw <= 0.01 AND cartype = vehicle.audi.tt AND roll > 0.00 AND ponding <= 25.00 AND 56.08 < carcolor_V <= 65.88 AND precipitation <= 49.00 AND 80.37 < carcolor_S <= 100.00 AND 49.00 < wetness <= 74.00 AND carnumber > 2.00 AND pitch <= 0.00 AND time > 7.00,0.672120831,0,Safety level
140,305,"[1, 15, 11]",High Risk level,cloudiness > 75.00 AND cardistance > 23.00 AND cartype = vehicle.jeep.wrangler_rubicon,0.993865031,0.007,High Risk level
141,4629,"[17, 11, 1, 15, 1, 8, 10, 6, 5, 13, 2]",Medium Risk Level,roadtype = T AND cartype = vehicle.tesla.model3 AND cloudiness <= 24.00 AND cardistance > 17.00 AND carcolor_V <= 56.08 AND carcolor_H <= 233.37 AND fogdis <= 74.00 AND fogden > 24.00 AND yaw <= 100.04 AND precipitation <= 24.00,0.962178517,0.0018,Medium Risk Level
142,119,"[1, 15, 17]",High Risk level,cloudiness > 50.00 AND cardistance > 23.00 AND roadtype = T,0.965014577,0.0193,High Risk level
143,4428,"[17, 10, 15, 1, 15, 5, 8, 9, 6, 4, 1, 5, 5, 8, 10, 16, 16, 10, 2, 3, 3, 2, 6, 4, 4, 7, 11, 13, 7, 0, 0, 3]",Medium Risk Level,roadtype = T AND carcolor_H <= 0.00 AND cardistance > 17.00 AND cloudiness <= 50.00 AND fogden > 76.00 AND carcolor_V > 65.88 AND carcolor_S <= 100.00 AND 23.00 < fogdis <= 74.00 AND wind <= 24.00 AND 2.00 < carnumber <= 3.00 AND precipitation > 49.00 AND ponding > 75.00 AND 23.00 < wetness <= 49.00 AND cartype = vehicle.toyota.prius AND yaw <= -178.77 AND time > 13.00,0.841788478,0.0001,Medium Risk Level
144,6827,"[15, 17, 1, 5, 3, 16, 8, 13, 4, 0, 1]",Safety level,cardistance <= 17.00 AND roadtype = I AND cloudiness <= 50.00 AND fogden <= 24.00 AND ponding <= 50.00 AND carnumber <= 2.00 AND carcolor_V > 85.10 AND yaw <= -178.77 AND wind > 50.00 AND time > 7.00,0.950155763,0.0007,Safety level
145,4331,"[17, 10, 1, 15, 9]",Medium Risk Level,roadtype = X AND carcolor_H <= 69.60 AND cloudiness <= 24.00 AND cardistance > 23.00 AND carcolor_S <= 0.00,0.958974359,0.0029,Medium Risk Level
146,1827,"[1, 15, 5, 6]",High Risk level,cloudiness > 50.00 AND cardistance > 17.00 AND fogden > 76.00 AND fogdis <= 74.00,0.974522293,0.0515,High Risk level
147,94,"[15, 1, 5, 6, 11, 3, 2, 16, 10, 9, 9, 10, 4, 5, 8, 4, 15, 8, 9, 15, 6, 0]",High Risk level,cardistance > 23.00 AND cloudiness > 24.00 AND fogden > 50.00 AND fogdis <= 23.00 AND cartype = vehicle.tesla.model3 AND ponding <= 50.00 AND precipitation <= 75.00 AND carnumber <= 3.00 AND carcolor_H > 69.60 AND 80.37 < carcolor_S <= 100.00 AND wind > 50.00 AND carcolor_V <= 65.88 AND time > 7.00,0.81227652,0.0005,High Risk level
148,54,"[1, 6, 11, 13, 14, 13, 9, 10, 6, 10, 1, 6, 7, 8, 0, 12, 0, 9, 4, 0, 7, 1, 8, 5, 8, 2, 16, 4, 3, 5, 9, 5, 10, 17, 2, 3]",High Risk level,cloudiness > 75.00 AND fogdis <= 23.00 AND cartype = vehicle.nissan.patrol AND -178.77 < yaw <= 100.04 AND roll <= 0.00 AND 0.00 < carcolor_S <= 80.37 AND 0.00 < carcolor_H <= 69.60 AND wetness <= 49.00 AND 65.88 < carcolor_V <= 85.10 AND 13.00 < time <= 19.00 AND pitch <= 0.00 AND wind > 50.00 AND fogden <= 24.00 AND 24.00 < precipitation <= 75.00 AND carnumber > 2.00 AND ponding <= 25.00 AND roadtype = X,0.777961889,0,High Risk level
149,1079,"[1, 15, 3]",High Risk level,cloudiness > 75.00 AND cardistance > 23.00 AND ponding > 75.00,0.974413646,0.0209,High Risk level
150,7026,"[15, 10, 5, 1, 11, 6, 3, 8, 0, 13, 17, 3, 12, 4, 15, 2, 4, 14, 13, 3, 7, 10, 6, 8, 8, 2, 10, 5, 9, 13, 16, 16, 2, 4, 15, 7]",Safety level,9.00 < cardistance <= 17.00 AND carcolor_H > 233.37 AND fogden <= 50.00 AND cloudiness <= 75.00 AND cartype = vehicle.audi.etron AND fogdis > 48.00 AND 25.00 < ponding <= 50.00 AND 56.08 < carcolor_V <= 65.88 AND time <= 19.00 AND yaw > 100.04 AND roadtype = R AND pitch <= 0.00 AND 24.00 < wind <= 50.00 AND precipitation <= 24.00 AND roll <= 0.00 AND 23.00 < wetness <= 74.00 AND carcolor_S <= 100.00 AND 2.00 < carnumber <= 3.00,0.881967213,0.0003,Safety level
151,7294,"[15, 11, 5, 1, 10, 3, 6, 14, 13, 7, 15, 13, 16, 0, 9, 16, 10, 5, 17, 8]",Safety level,9.00 < cardistance <= 17.00 AND cartype = vehicle.audi.a2 AND fogden <= 24.00 AND cloudiness <= 75.00 AND carcolor_H > 233.37 AND ponding <= 75.00 AND fogdis > 48.00 AND roll > 0.00 AND -178.77 < yaw <= 0.01 AND wetness > 74.00 AND 2.00 < carnumber <= 3.00 AND time <= 19.00 AND carcolor_S > 0.00 AND roadtype = X AND carcolor_V > 56.08,0.953555878,0.0002,Safety level
152,141,"[15, 1, 6, 17, 7, 7, 2, 13, 16, 10, 8, 10, 15, 14, 9, 6]",High Risk level,cardistance > 23.00 AND cloudiness > 24.00 AND fogdis <= 23.00 AND roadtype = X AND wetness > 49.00 AND precipitation > 24.00 AND yaw <= 100.04 AND carnumber <= 3.00 AND carcolor_H > 69.60 AND carcolor_V <= 85.10 AND roll <= 0.00 AND carcolor_S <= 100.00,0.79459938,0.0011,High Risk level
153,2803,"[16, 13, 9, 9, 13, 10, 0, 5, 13, 8, 7, 16, 17, 10, 9, 2, 2, 8, 3, 3, 10, 2, 6, 4, 6, 11, 1, 15, 0, 12, 5, 3, 15, 1, 15, 0, 4, 6, 4, 1, 7, 8, 7]",Low Risk level,carnumber <= 2.00 AND yaw > 100.04 AND 80.37 < carcolor_S <= 100.00 AND carcolor_H > 233.37 AND time > 19.00 AND 24.00 < fogden <= 76.00 AND 56.08 < carcolor_V <= 65.88 AND 49.00 < wetness <= 74.00 AND roadtype = R AND precipitation > 75.00 AND 50.00 < ponding <= 75.00 AND fogdis > 74.00 AND wind > 76.00 AND cartype = vehicle.audi.a2 AND cloudiness > 75.00 AND cardistance <= 9.00 AND pitch > 0.00,0.878063359,0.0003,Low Risk level
154,1936,"[15, 1, 11, 5, 10, 3, 15, 0, 7]",Safety level,9.00 < cardistance <= 17.00 AND cloudiness <= 24.00 AND cartype = vehicle.audi.a2 AND fogden <= 24.00 AND carcolor_H > 233.37 AND ponding <= 75.00 AND time > 19.00 AND wetness > 49.00,0.965463108,0,Low Risk level
155,6101,"[15, 5, 6, 1, 3, 9, 8, 14, 0, 12, 7, 3, 4, 3, 2, 7, 2, 9, 5, 7, 2, 0, 9, 4, 16, 5, 15, 15, 6, 8, 0, 8, 4, 13, 10, 13, 13]",Safety level,cardistance <= 9.00 AND fogden <= 24.00 AND fogdis > 48.00 AND cloudiness <= 75.00 AND ponding <= 25.00 AND 80.37 < carcolor_S <= 100.00 AND carcolor_V > 85.10 AND roll > 0.00 AND time <= 7.00 AND pitch > 0.00 AND 49.00 < wetness <= 74.00 AND wind > 76.00 AND 49.00 < precipitation <= 75.00 AND carnumber <= 3.00 AND yaw > 100.04 AND carcolor_H <= 0.00,0.882847257,0.0005,Safety level
156,2684,"[1, 17, 15, 16, 13, 14, 10, 9, 9, 1, 12, 10]",Low Risk level,cloudiness <= 50.00 AND roadtype = I AND cardistance > 9.00 AND carnumber > 2.00 AND yaw <= 100.04 AND roll <= 0.00 AND carcolor_H <= 69.60 AND carcolor_S <= 80.37 AND pitch <= 0.00,0.62420693,0.0309,Low Risk level
157,7069,"[15, 1, 11, 13, 5, 4, 9, 17, 2, 10, 7, 7, 12, 0, 3, 15, 7, 9, 15, 4, 13, 2, 1]",Safety level,cardistance <= 9.00 AND cloudiness <= 50.00 AND cartype = vehicle.chevrolet.impala AND yaw > 100.04 AND fogden <= 76.00 AND wind <= 50.00 AND carcolor_S <= 80.37 AND roadtype = R AND precipitation <= 49.00 AND carcolor_H <= 233.37 AND 49.00 < wetness <= 74.00 AND pitch <= 0.00 AND time > 7.00 AND ponding > 25.00,0.91954023,0.0006,Safety level
158,5174,"[17, 6, 5, 12, 15, 15, 1, 3, 9, 14, 0, 2, 8, 6, 1, 3, 3, 7, 9, 15, 7, 16, 16, 8, 13, 9, 4, 4, 0]",Medium Risk Level,roadtype = R AND fogdis <= 48.00 AND fogden > 24.00 AND pitch <= 0.00 AND 9.00 < cardistance <= 17.00 AND cloudiness > 50.00 AND ponding > 75.00 AND 80.37 < carcolor_S <= 100.00 AND roll <= 0.00 AND time <= 13.00 AND precipitation <= 75.00 AND 56.08 < carcolor_V <= 85.10 AND wetness <= 49.00 AND 2.00 < carnumber <= 3.00 AND yaw > 100.04 AND wind <= 50.00,0.708379888,0.0003,Medium Risk Level
159,7350,"[15, 17, 1, 4, 3, 15, 2]",Safety level,9.00 < cardistance <= 17.00 AND roadtype = I AND cloudiness <= 24.00 AND wind <= 24.00 AND ponding <= 50.00 AND precipitation > 75.00,0.952326901,0.001,Safety level
160,5143,"[15, 1, 1, 5, 6, 13, 2, 8, 5, 0, 14, 7, 3, 9, 10, 4, 16, 17, 7, 0, 2, 13, 16, 1, 4, 6, 10, 10, 2, 6, 9, 4, 13, 9, 15, 8, 0]",Medium Risk Level,cardistance <= 17.00 AND 50.00 < cloudiness <= 75.00 AND fogden > 50.00 AND 23.00 < fogdis <= 48.00 AND -178.77 < yaw <= 0.01 AND 24.00 < precipitation <= 49.00 AND carcolor_V <= 65.88 AND time > 19.00 AND roll <= 0.00 AND 23.00 < wetness <= 74.00 AND ponding > 25.00 AND 80.37 < carcolor_S <= 100.00 AND carcolor_H > 233.37 AND 24.00 < wind <= 50.00 AND carnumber <= 2.00 AND roadtype = I,0.937272727,0.0004,Medium Risk Level
161,834,"[1, 15, 0]",High Risk level,cloudiness > 75.00 AND cardistance > 23.00 AND time > 19.00,0.970266041,0.0139,High Risk level
162,3934,"[15, 6, 14, 5, 7, 13, 8, 2, 8, 0, 13, 16, 16, 15, 2]",Safety level,cardistance <= 9.00 AND fogdis > 74.00 AND roll > 0.00 AND fogden <= 50.00 AND wetness > 74.00 AND -178.77 < yaw <= 0.01 AND carcolor_V > 85.10 AND precipitation > 49.00 AND time <= 13.00 AND 2.00 < carnumber <= 3.00,0.777586207,0,Safety level
163,3197,"[15, 17, 6, 11, 2, 13, 5, 2, 9, 10, 16, 13, 4, 6, 7, 9, 0]",Safety level,cardistance <= 17.00 AND roadtype = I AND fogdis > 48.00 AND cartype = vehicle.bmw.grandtourer AND precipitation > 49.00 AND yaw <= 0.01 AND fogden > 76.00 AND carcolor_S <= 0.00 AND carcolor_H <= 69.60 AND carnumber > 2.00 AND wind > 50.00 AND wetness > 23.00 AND time > 19.00,0.804081633,0,Low Risk level
164,4073,"[17, 11, 6, 8, 1, 15, 10, 5]",Medium Risk Level,roadtype = X AND cartype = vehicle.tesla.model3 AND fogdis <= 23.00 AND carcolor_V <= 56.08 AND cloudiness <= 24.00 AND cardistance > 17.00 AND carcolor_H <= 233.37 AND fogden > 50.00,0.955163043,0.0003,Medium Risk Level
165,4800,"[1, 6, 10, 5, 11, 13, 3, 17, 16, 1, 12, 5, 10, 9, 5, 6, 10, 8, 7, 7, 13, 9, 13, 8, 8]",Safety level,cloudiness <= 50.00 AND fogdis > 48.00 AND 69.60 < carcolor_H <= 233.37 AND fogden <= 24.00 AND cartype = vehicle.chevrolet.impala AND yaw > 100.04 AND ponding <= 25.00 AND roadtype = R AND carnumber > 2.00 AND pitch <= 0.00 AND 0.00 < carcolor_S <= 100.00 AND carcolor_V <= 56.08 AND wetness <= 49.00,0.845437616,0.0001,Safety level
166,4203,"[15, 1, 11, 1, 17, 6, 15, 13, 16]",Medium Risk Level,cardistance <= 9.00 AND 50.00 < cloudiness <= 75.00 AND cartype = vehicle.volkswagen.t2 AND roadtype = R AND fogdis <= 23.00 AND yaw > 100.04 AND carnumber <= 2.00,0.953827461,0,Medium Risk Level
167,5779,"[1, 6, 15, 8, 3, 16, 15, 17, 5, 8, 4, 16, 13, 0, 14, 6, 1, 13, 9, 15, 7, 5, 0]",Low Risk level,cloudiness <= 50.00 AND 23.00 < fogdis <= 48.00 AND 9.00 < cardistance <= 17.00 AND carcolor_V > 65.88 AND ponding > 50.00 AND 2.00 < carnumber <= 3.00 AND roadtype = T AND fogden > 50.00 AND wind > 50.00 AND yaw > 0.01 AND 7.00 < time <= 19.00 AND roll <= 0.00 AND carcolor_S <= 100.00 AND wetness > 23.00,0.79409994,0,Low Risk level
168,1758,"[1, 15, 11]",High Risk level,cloudiness > 50.00 AND cardistance > 23.00 AND cartype = vehicle.audi.tt,0.954385965,0.0075,High Risk level
169,7346,"[15, 17, 1, 6, 11, 10, 16, 7, 3, 10, 4, 8, 6, 13, 9, 7, 4, 6, 4, 12, 15, 1, 0, 0, 16, 2, 5, 14, 15, 5, 10]",Safety level,cardistance <= 9.00 AND roadtype = I AND cloudiness <= 50.00 AND fogdis > 74.00 AND cartype = vehicle.chevrolet.impala AND 69.60 < carcolor_H <= 233.37 AND carnumber > 3.00 AND wetness > 49.00 AND ponding > 25.00 AND wind <= 24.00 AND carcolor_V <= 85.10 AND yaw > -178.77 AND carcolor_S <= 100.00 AND pitch <= 0.00 AND 7.00 < time <= 19.00 AND precipitation <= 75.00 AND fogden > 50.00 AND roll <= 0.00,0.928463855,0.0005,Safety level
170,1676,"[1, 15, 6]",High Risk level,cloudiness > 50.00 AND cardistance > 23.00 AND fogdis <= 23.00,0.973469388,0.0286,High Risk level
171,5710,"[17, 10, 15, 1, 5, 12, 13, 7, 14, 2, 9, 9, 0, 3, 3, 7, 0, 3, 5, 6, 16, 8, 8, 8, 4, 13, 2, 4, 2, 7, 4, 13, 5, 6, 15, 1, 15, 1, 10, 16, 11, 0, 9, 10]",Medium Risk Level,roadtype = X AND 69.60 < carcolor_H <= 233.37 AND 9.00 < cardistance <= 17.00 AND 50.00 < cloudiness <= 75.00 AND fogden > 76.00 AND pitch <= 0.00 AND 0.01 < yaw <= 100.04 AND 23.00 < wetness <= 49.00 AND roll <= 0.00 AND 49.00 < precipitation <= 75.00 AND 0.00 < carcolor_S <= 80.37 AND 7.00 < time <= 13.00 AND ponding > 75.00 AND fogdis > 74.00 AND carnumber > 3.00 AND carcolor_V <= 56.08 AND 24.00 < wind <= 50.00 AND cartype = vehicle.chevrolet.impala,0.926365796,0.0001,Medium Risk Level
172,3080,"[1, 11, 10, 17, 9, 0, 7, 14, 13, 3, 5, 5, 4, 9, 8, 10, 4, 13, 7, 8, 9, 6, 10, 4, 2, 16, 12, 13, 5, 2, 6, 2, 0, 1, 15, 6, 0, 3, 8, 15]",Low Risk level,50.00 < cloudiness <= 75.00 AND cartype = vehicle.audi.tt AND carcolor_H > 233.37 AND roadtype = R AND 80.37 < carcolor_S <= 100.00 AND time > 19.00 AND wetness <= 49.00 AND roll <= 0.00 AND yaw > 100.04 AND 25.00 < ponding <= 75.00 AND 24.00 < fogden <= 50.00 AND wind > 76.00 AND 56.08 < carcolor_V <= 65.88 AND fogdis > 74.00 AND precipitation <= 24.00 AND carnumber <= 3.00 AND pitch <= 0.00 AND cardistance <= 9.00,0.739989029,0.0002,Low Risk level
173,3721,"[15, 1, 6, 10, 3, 5, 7, 12, 9, 13, 8, 1, 16, 15, 5, 9, 2, 10, 0, 0, 15, 6, 3, 3, 5, 6, 1, 7, 13, 14, 8, 0, 10, 4]",Safety level,cardistance <= 9.00 AND cloudiness <= 24.00 AND fogdis > 74.00 AND 69.60 < carcolor_H <= 233.37 AND ponding <= 25.00 AND fogden <= 24.00 AND wetness > 49.00 AND pitch <= 0.00 AND 0.00 < carcolor_S <= 100.00 AND yaw <= 0.01 AND 56.08 < carcolor_V <= 85.10 AND carnumber <= 3.00 AND precipitation <= 75.00 AND time > 19.00 AND roll <= 0.00 AND wind > 50.00,0.930823117,0,Safety level
174,951,"[1, 15, 5, 6]",High Risk level,cloudiness > 75.00 AND cardistance > 17.00 AND fogden > 50.00 AND fogdis <= 23.00,0.996478873,0.0142,High Risk level
175,4686,"[15, 1, 16, 6, 5, 13, 9, 14, 15, 10, 3, 6, 11, 9, 4, 4, 0, 7, 3, 8, 15, 5, 0, 7, 10, 7, 3, 9, 16, 6, 10, 1, 17, 8]",Medium Risk Level,cardistance <= 9.00 AND cloudiness > 50.00 AND carnumber <= 2.00 AND fogdis <= 23.00 AND fogden > 50.00 AND yaw > -178.77 AND 80.37 < carcolor_S <= 100.00 AND roll <= 0.00 AND carcolor_H > 233.37 AND ponding > 75.00 AND cartype = vehicle.audi.etron AND wind <= 50.00 AND 7.00 < time <= 19.00 AND 23.00 < wetness <= 49.00 AND 56.08 < carcolor_V <= 85.10 AND roadtype = I,0.823837209,0.0002,Medium Risk Level
176,6239,"[1, 6, 10, 15, 5, 16, 9, 7, 8, 4, 12, 10, 2, 15, 17]",Safety level,cloudiness <= 24.00 AND fogdis > 74.00 AND carcolor_H > 69.60 AND 9.00 < cardistance <= 23.00 AND fogden <= 50.00 AND carnumber <= 2.00 AND carcolor_S > 80.37 AND wetness > 74.00 AND carcolor_V <= 56.08 AND wind > 24.00 AND pitch <= 0.00 AND precipitation <= 75.00 AND roadtype = X,0.95505618,0.0002,Safety level
177,6495,"[1, 10, 15, 9, 5, 11, 3, 2, 17, 8, 0, 7, 8, 9, 13, 16, 16, 4, 12, 5, 10, 8, 3]",Safety level,cloudiness <= 50.00 AND carcolor_H > 233.37 AND cardistance <= 23.00 AND carcolor_S > 80.37 AND fogden <= 24.00 AND cartype = vehicle.audi.etron AND ponding <= 25.00 AND precipitation > 75.00 AND roadtype = X AND 56.08 < carcolor_V <= 65.88 AND time > 7.00 AND wetness <= 49.00 AND yaw > -178.77 AND 2.00 < carnumber <= 3.00 AND wind <= 76.00 AND pitch <= 0.00,0.878816794,0.0002,Safety level
178,2606,"[1, 15, 17, 9]",Low Risk level,cloudiness <= 24.00 AND cardistance > 23.00 AND roadtype = I AND carcolor_S <= 0.00,0.952898551,0.0045,Low Risk level
179,3987,"[15, 1, 11, 4, 14, 0, 7, 12, 0, 13, 2, 15, 16, 7, 7, 3, 0, 9, 4, 2, 9, 15, 1, 2]",Safety level,cardistance <= 9.00 AND cloudiness <= 50.00 AND cartype = vehicle.audi.etron AND wind <= 24.00 AND roll > 0.00 AND time > 19.00 AND 49.00 < wetness <= 74.00 AND pitch <= 0.00 AND yaw > -178.77 AND precipitation <= 24.00 AND carnumber > 2.00 AND ponding > 25.00 AND 0.00 < carcolor_S <= 100.00,0.858784107,0,Medium Risk Level
180,1748,"[1, 15, 3, 6, 13, 5, 14, 16, 12, 2, 3, 7, 3, 4, 6, 1, 6, 9]",High Risk level,cloudiness > 75.00 AND cardistance > 9.00 AND ponding > 75.00 AND fogdis <= 23.00 AND yaw <= 100.04 AND fogden > 24.00 AND roll <= 0.00 AND carnumber > 2.00 AND pitch <= 0.00 AND precipitation <= 75.00 AND wetness > 23.00 AND wind > 24.00 AND carcolor_S <= 100.00,0.852173913,0.0009,High Risk level
181,4748,"[15, 11, 1, 8, 13, 4, 14, 2, 9, 7, 3, 8, 8, 15, 4, 16, 10, 13, 9, 0, 2, 5, 15, 3]",Medium Risk Level,cardistance <= 9.00 AND cartype = vehicle.volkswagen.t2 AND cloudiness > 24.00 AND carcolor_V <= 56.08 AND yaw <= -178.77 AND 24.00 < wind <= 76.00 AND roll <= 0.00 AND 49.00 < precipitation <= 75.00 AND 0.00 < carcolor_S <= 100.00 AND wetness <= 74.00 AND ponding <= 50.00 AND carnumber <= 2.00 AND carcolor_H <= 233.37 AND time > 7.00 AND fogden > 24.00,0.624227441,0.0003,Medium Risk Level
182,4026,"[15, 1, 5, 17, 4, 8, 14, 13, 2, 1, 6, 2, 2, 10, 5, 16, 9, 5, 8, 10, 4, 15, 7, 3, 7, 6, 13, 3, 6, 0, 9, 8, 15, 12, 4, 16, 7]",Medium Risk Level,cardistance <= 9.00 AND 24.00 < cloudiness <= 75.00 AND fogden > 76.00 AND roadtype = X AND 24.00 < wind <= 50.00 AND 56.08 < carcolor_V <= 65.88 AND roll <= 0.00 AND -178.77 < yaw <= 100.04 AND 49.00 < precipitation <= 75.00 AND 48.00 < fogdis <= 74.00 AND carcolor_H > 69.60 AND 2.00 < carnumber <= 3.00 AND 0.00 < carcolor_S <= 100.00 AND 23.00 < wetness <= 49.00 AND ponding <= 50.00 AND time <= 19.00 AND pitch > 0.00,0.65,0.0005,Medium Risk Level
183,4369,"[16, 10, 9, 0, 7, 1, 1, 11, 13, 2, 10, 14, 16, 4, 0, 3, 10, 2, 9, 2, 3]",Medium Risk Level,2.00 < carnumber <= 3.00 AND carcolor_H <= 0.00 AND carcolor_S > 80.37 AND 7.00 < time <= 13.00 AND wetness > 23.00 AND 50.00 < cloudiness <= 75.00 AND cartype = vehicle.toyota.prius AND yaw > -178.77 AND precipitation > 75.00 AND roll <= 0.00 AND wind > 24.00 AND 25.00 < ponding <= 50.00,0.489288182,0.0003,Medium Risk Level
184,321,"[1, 15, 11, 6]",High Risk level,cloudiness > 50.00 AND cardistance > 17.00 AND cartype = vehicle.nissan.micra AND fogdis <= 23.00,0.95958279,0.0088,High Risk level
185,39,"[1, 5, 11, 13, 0, 14, 7, 8, 0, 10, 4, 13, 4, 2, 0, 1, 1, 5, 5, 10, 7, 12, 4, 3]",High Risk level,cloudiness > 75.00 AND fogden > 76.00 AND cartype = vehicle.nissan.patrol AND yaw > 0.01 AND time > 19.00 AND roll <= 0.00 AND 23.00 < wetness <= 74.00 AND carcolor_V <= 85.10 AND carcolor_H <= 69.60 AND wind > 76.00 AND precipitation > 24.00 AND pitch <= 0.00 AND ponding > 25.00,0.734477537,0.0003,High Risk level
186,2667,"[1, 6, 10, 9, 5, 11, 10, 17, 15, 13, 13, 2]",Low Risk level,cloudiness <= 24.00 AND fogdis <= 48.00 AND carcolor_H > 233.37 AND carcolor_S > 0.00 AND fogden > 76.00 AND cartype = vehicle.audi.tt AND roadtype = T AND cardistance <= 17.00 AND 0.01 < yaw <= 100.04 AND precipitation > 75.00,0.95375,0.0006,Low Risk level
187,2704,"[4, 16, 5, 15, 4, 9, 14, 13, 6, 8, 6, 15, 10, 15, 11, 5, 9, 7, 10, 13, 6, 3, 3, 7, 9, 10, 2, 3]",Low Risk level,wind > 50.00 AND carnumber > 2.00 AND fogden <= 24.00 AND 17.00 < cardistance <= 23.00 AND 80.37 < carcolor_S <= 100.00 AND roll <= 0.00 AND yaw > 0.01 AND fogdis <= 23.00 AND carcolor_V > 56.08 AND carcolor_H > 233.37 AND cartype = vehicle.audi.a2 AND wetness > 74.00 AND 25.00 < ponding <= 50.00 AND precipitation > 24.00,0.583297086,0.0002,Low Risk level
188,6944,"[15, 1, 6, 11, 13, 3, 5, 9, 10, 2, 17]",Safety level,cardistance <= 9.00 AND cloudiness <= 50.00 AND fogdis > 74.00 AND cartype = vehicle.chevrolet.impala AND yaw > 100.04 AND ponding <= 50.00 AND fogden <= 76.00 AND carcolor_S <= 80.37 AND carcolor_H <= 233.37 AND precipitation > 24.00 AND roadtype = R,0.95691906,0.0004,Safety level
189,1073,"[1, 15, 11]",High Risk level,cloudiness > 75.00 AND cardistance > 23.00 AND cartype = vehicle.jeep.wrangler_rubicon,0.975717439,0.007,High Risk level
